,Post_Content,Date,Comments_Shares,All_Responses,Brand
1360,"Looking for a healthy dessert this week?
This deliciously creamy plum fool is made with natural fat-free fromage frais and is a good source of potassium, fibre and vitamin E. Read the recipe: http://bit.ly/1J9i8Ll","July 14, 2015",4 Comments23 Shares,110,waitroseandpartners
1362,"Looking to eat a little healthier?
Check out our Pinterest board filled with healthy tips, inspiring meals and quick snacks: http://bit.ly/1FU7Lsr","July 14, 2015",9 Shares,66,waitroseandpartners
1364,"Who's having a meat-free Monday?
We're enjoying this colourful warm asparagus salad topped with a soft poached egg. Perfect comfort food for today's weather! Read our recipe: http://bit.ly/1HBQsNW","July 13, 2015",8 Comments12 Shares,116,waitroseandpartners
1366,"Martha from The Great British Bake Off shows you how to make Ice Cream Cone Muffins with an amazing marshmallow topping.
Read the full recipe here: http://bit.ly/1SaQcvh","July 12, 2015",78 Comments559 Shares101K Views,1K,waitroseandpartners
1368,"Making your own barbecue sauce is easy! This deliciously sticky barbecue sauce, made with cola, honey, passata and paprika is perfect for chicken drumsticks.
Read our simple recipe here: http://bit.ly/1KuF1ga","July 11, 2015",32 Comments283 Shares85K Views,540,waitroseandpartners
1370,"What’s your ultimate summer cocktail?
Browse our favourite recipes and discover a wide range of refreshing flavours. Perfect for entertaining friends or family this weekend:
http://bit.ly/1KYdofP","July 10, 2015",10 Comments28 Shares,232,waitroseandpartners
1372,"Browse our summer Pinterest board packed with delicious summer recipes perfect for barbecues, parties and picnics: http://bit.ly/1eqxGCW","July 9, 2015",1 Comment4 Shares,65,waitroseandpartners
1374,"Treat yourself to our delicious lemon and stem ginger scones topped with a dollop of fruity English raspberry jam. Read the recipe: http://bit.ly/1KWDtfm
Perfect for an afternoon tea break while watching The Ashes!","July 9, 2015",7 Comments25 Shares,206,waitroseandpartners
1376,"WIN a month's worth of shopping with Pick Your Own Offers!
Tell us the ONE additional item you would like to see included in Pick Your Own Offers for the chance to win! Terms: bit.ly/1J22JMK","July 8, 2015",3K Comments425 Shares,4.5K,waitroseandpartners
1378,"Watching The Ashes today? Which of these tasty breakfast recipes is your winner?
Heston’s scrambled eggs, bacon and chicken liver meat fruit or Donna Hay’s avocado & lime sourdough smash.","July 8, 2015",12 Comments2 Shares,51,waitroseandpartners
1380,"Looking for something tasty and quick for dinner tonight?
Browse our ‘meals in minutes’ for delicious weekly recipe ideas including these spicy beef burritos, served with a dollop of soured cream: http://bit.ly/1CXWzeC","July 7, 2015",6 Shares,71,waitroseandpartners
1382,"Watch our handy guide to chia seeds – they’re rich in protein and work brilliantly with smoothies, salads and yogurts.
Find healthy recipes here: http://bit.ly/1JwwIlz","July 7, 2015",24 Comments75 Shares8.3K Views,131,waitroseandpartners
1384,"Who’s having a meat-free Monday?
We’re enjoying our quick recipe for avocado and pepper quesadilla with fresh tomato salsa. Read the recipe: http://bit.ly/1UhF3g1","July 6, 2015",7 Comments21 Shares,100,waitroseandpartners
1386,"Try this simple spiced berry jam, ready in just 15 minutes. It works brilliant with all berries, so mix and match to find your favourite combo.
Read the full recipe here: http://bit.ly/1dwVHXt","July 6, 2015",1 Comment15 Shares2.1K Views,47,waitroseandpartners
1388,"The most popular #TasteOfSummer this week… strawberries!
Tell us yours in the comments below and you could win a pair of tickets to an evening of cocktails and canapés at The Waitrose Cookery School in London: http://bit.ly/1KrNql5","July 5, 2015",17 Comments9 Shares1.1K Views,95,waitroseandpartners
1390,"Watch food writer Rosie Lovell visit Barcelona and learn about the regional speciality, Gin Mare. Find out how it’s made and what makes it special.","July 4, 2015",1 Comment9 Shares1.7K Views,41,waitroseandpartners
1392,"Tess Ward shows you how to make seared steak lettuce cups served with chopped cashews, goji berries, and green chillies. Read the full recipe: http://bit.ly/1IGpDsS","July 4, 2015",12 Shares2.1K Views,44,waitroseandpartners
1394,"Head over to Pinterest and create a board filled with your favourite summer flavours for the chance to WIN a Sparkling Afternoon Tea or a Cocktail Party for you and your friends.
Get started: http://bit.ly/1eqxGCW","July 3, 2015",5 Shares,52,waitroseandpartners
1396,"Ice cream cones or chicken kebabs on the barbecue, we want to hear your ultimate #TasteOfSummer.
You could win a pair of tickets to an evening of cocktails and canapés at The Waitrose Cookery School in London: http://bit.ly/1KrNql5","July 3, 2015",12 Comments5 Shares,94,waitroseandpartners
1398,Watch our handy guide to blueberries. They’re incredibly versatile and a great source of vitamin C: http://bit.ly/1FEFVQY,"July 2, 2015",3 Comments15 Shares2K Views,81,waitroseandpartners
1400,"Fresh lemonade is an essential summer drink. Try making your own: Put 100g of golden granulated sugar in a pan with 250ml of water on a low heat. Stir occasionally until the sugar has dissolved. Set aside to cool. Add the juice of 3 lemons and lemon zest. Add a sprig of mint, plenty of ice and 500ml of water – Enjoy!","July 1, 2015",21 Comments100 Shares,313,waitroseandpartners
1402,"Who’s enjoying the hot weather today?
Why not take a break from the heat and cool down with our refreshing ice cream and ice lolly recipes.","July 1, 2015",5 Comments12 Shares,154,waitroseandpartners
1404,Celebrate the start of Wimbledon with our delicious strawberry recipes. Which one will you try?,"June 30, 2015",15 Comments82 Shares,358,waitroseandpartners
1406,"Wimbledon starts today, and that means one thing!
What do you prefer with yours – sugar, cream or ice cream?","June 29, 2015",55 Comments18 Shares,187,waitroseandpartners
1408,"Watch our simple recipe for indulgent dark chocolate brownies rippled with chopped cherries.
Read the full recipe: http://bit.ly/1fEXFqg","June 28, 2015",6 Comments63 Shares3.9K Views,104,waitroseandpartners
1410,"‘Uncork summer with this Earl Grey based Fruit Cup full of fragrant elderflower, citrusy bergamot and a kick of apple spirit’ – Heston
Enjoy Heston’s Fruit Cup for just £12 until 30 June: http://bit.ly/1Jgis00","June 27, 2015",258 Comments398 Shares,6.2K,waitroseandpartners
1412,"Watch how to make tasty raspberry jam using just four ingredients.
Read the full recipe here: http://bit.ly/1fIMay7","June 27, 2015",9 Comments39 Shares3.5K Views,103,waitroseandpartners
1414,"Watch how easy it is to Pick Your Own Offers. 20% off, just for you: http://bit.ly/1ekDEoI","June 26, 2015",65 Comments40 Shares139K Views,416,waitroseandpartners
1416,"Fluffy sponge filled with strawberry cream and topped with fondant icing and scattered rose petals – the perfect afternoon treat for Wimbledon.
Read the full recipe: http://bit.ly/1GA88ZZ","June 26, 2015",3 Comments40 Shares2.8K Views,129,waitroseandpartners
1418,"Heston shows you how to make his refreshing Fruit Cup Cocktail using crushed ginger and raspberries, ginger ale, zingy limes and a sprig of rosemary. Full recipe: http://bit.ly/U0eAJn
Enjoy Heston’s Fruit Cup for just £12 until 30 June.","June 25, 2015",49 Comments143 Shares158K Views,604,waitroseandpartners
1420,"Make the most of British tomatoes with this easy spinach, feta and tomato tart – delicious served with a green summer salad.
Read the recipe: http://bit.ly/1Gw7pfw","June 25, 2015",4 Comments34 Shares2.7K Views,97,waitroseandpartners
1422,"Serve this delicious courgette, mint and sultana tea bread with a cup of tea for a delicious afternoon treat.
Read the recipe: http://bit.ly/1dO675p","June 24, 2015",2 Comments16 Shares2.2K Views,52,waitroseandpartners
1424,"We’re very pleased to have won Best Food & Grocery retailer for the tenth year running in the Verdict Customer Satisfaction Awards
Where’s your local Waitrose?","June 23, 2015",171 Comments34 Shares,648,waitroseandpartners
1426,"Today's Q&A is now closed. Thanks for all your great questions - sorry I couldn't answer them all! Tess x
View more Tess Ward recipes here: http://bit.ly/1Hblna7
View Waitrose recipes here: http://bit.ly/1THppKP","June 23, 2015",74 Comments9 Shares,255,waitroseandpartners
1428,"Watch Tess Ward’s simple recipe for gluten-free chive crêpes with avocado and hot-smoked salmon.
Read the full recipe: http://bit.ly/1dbAH8v","June 23, 2015",17 Shares1.6K Views,37,waitroseandpartners
1430,"Join chef and healthy food writer Tess Ward for a live Q&A tomorrow from midday.
Simply ask your questions in the comments below!","June 22, 2015",32 Comments4 Shares,219,waitroseandpartners
1432,Stir-up a tasty meat-free dinner tonight. Watch our simple recipe for creamy asparagus and pea risotto. Read the recipe: http://bit.ly/1JZEfJr,"June 22, 2015",28 Shares2.1K Views,64,waitroseandpartners
1434,Happy Father's Day from all of us at Waitrose!,"June 21, 2015",1 Comment17 Shares,256,waitroseandpartners
1436,"Tell us your favourite #TasteOfSummer in the comments below for the chance to win tickets to an exclusive barbecue event with Heston!
Find out more: http://bit.ly/1KrNql5","June 20, 2015",33 Comments3 Shares,80,waitroseandpartners
1438,"Pick Your Own Offers at Waitrose today and enjoy 20% off, just for you.
Choose your ten favourite items from hundreds of products and save every time you shop. Get started: http://bit.ly/1ekDEoI","June 20, 2015",17 Comments17 Shares,117,waitroseandpartners
1440,"Try introducing more pulses into your diet with some of our favourite recipes. Find all recipe here: http://bit.ly/1MNZnAc
Pulses are a low-fat and a good source of protein, fibre, vitamins and minerals.","June 19, 2015",3 Comments25 Shares,127,waitroseandpartners
1442,Time for Pimm's? Take a look at our classic recipe here: http://bit.ly/1I8v8QR,"June 18, 2015",33 Comments147 Shares,638,waitroseandpartners
1444,"Treat Dad to a barbecue feast this Father's Day with some of our favourite recipes.
Plus, enjoy 3 for £10 across selected meat, both in store and online: http://bit.ly/1JWtyHy","June 18, 2015",1 Comment10 Shares,72,waitroseandpartners
1446,"Introducing Pick Your Own Offers, enjoy 20% off just for you. In store and online, only at Waitrose. Find out more and pick yours: http://bit.ly/1ekDEoI","June 17, 2015",31 Comments51 Shares,182,waitroseandpartners
1448,"Win tickets to an exclusive barbecue event with Heston Blumenthal! We have 20 pairs of tickets to give away.
Simply tell us your favourite #TasteOfSummer below for the chance to win.
Terms: http://bit.ly/1KrNql5...
See More","June 16, 2015",1.3K Comments145 Shares,2.6K,waitroseandpartners
1450,"Crisp iceberg lettuce wedges drizzled with a spicy avocado dressing and crunchy seeds – a delicious meat-free dish for the summer.
Read the full recipe: http://bit.ly/1C2zxma","June 15, 2015",4 Comments32 Shares3.5K Views,123,waitroseandpartners
1452,"Deliciously crispy, pork, chorizo and smoked paprika sausage rolls – perfect for picnics or if made slightly smaller, as a party canapé.
Read the full recipe: http://bit.ly/1Fdfe5G","June 14, 2015",7 Comments21 Shares,125,waitroseandpartners
1454,"Today, we’re baking these simple savoury cheddar, chive and ham muffins – perfect for picnics and lunch boxes.
Read the full recipe: http://bit.ly/1BbsUmC","June 14, 2015",21 Comments133 Shares,346,waitroseandpartners
1456,"Pulled jerk chicken, sliced lettuce and a dollop red onion chutney sandwiched between two slices of brioche – a delicious weekend treat!
Read the recipe here: http://bit.ly/1C2wmLb","June 12, 2015",1 Comment16 Shares,134,waitroseandpartners
1458,"Sizzling barbecue ribs or creamy strawberry ice cream, tell us your favourite #TasteOfSummer for the chance to win one of our exclusive summer experiences.
Find out more here: http://bit.ly/1KrNql5","June 12, 2015",26 Comments4 Shares,86,waitroseandpartners
1460,"Watch our handy guide to eggs and discover the benefits of including them in your diet. They're a great source of protein and vitamins.
Find healthy protein recipes here: http://bit.ly/1FLOj2q","June 11, 2015",3 Comments10 Shares2.2K Views,69,waitroseandpartners
1464,"Zingy lamb kebabs wrapped in flame baked naan bread and served with mango chutney - perfect for dinner tonight.
Read the recipe here: http://bit.ly/1b9Guew","June 10, 2015",3 Comments11 Shares,123,waitroseandpartners
1466,"Torn lettuce leaves layered with chicken breast, anchovies, warm garlic croutons, and Parmigiano Reggiano. Drizzle with a creamy dressing and enjoy!
Read the full recipe: http://bit.ly/1B0g0YF","June 10, 2015",12 Shares,102,waitroseandpartners
1468,"Watch our recipe for date and nut energy bites - great for on-the-go and perfect for lunch boxes!
Read the full recipe: http://bit.ly/1AvYkE3","June 9, 2015",2 Comments30 Shares1.9K Views,94,waitroseandpartners
1470,"What’s your Dad’s favourite meal?
Tell us in the comments below to WIN a day at the Waitrose Cookery School in London for you and your Dad. A full day of delicious food and beer on Saturday 20 June.
Terms and conditions: http://bit.ly/1G6MNKx","June 8, 2015",14 Comments4 Shares,90,waitroseandpartners
1472,"WIN a day at the Waitrose Cookery School in London for you and your Dad. A full day of delicious food and beer on 20 June.
Simply tell us your Dad's favourite meal in the comments below.
Terms and conditions: http://bit.ly/1G6MNKx","June 8, 2015",14 Comments9 Shares,30,waitroseandpartners
1474,"Make the most of the British asparagus season with our quick asparagus and potato filo tart. It’s 1 of your 5 a day and rich in folic acid.
Read the full recipe: http://bit.ly/1GuiX5W","June 8, 2015",2 Comments21 Shares,115,waitroseandpartners
1478,"Try Martha Collison’s summery version of a classic éclair with a creamy raspberry ripple filling – sure to be a hit with friends and family!
Read the recipe: http://bit.ly/1QwyXnx","June 7, 2015",3 Comments31 Shares,189,waitroseandpartners
1480,"Watch our spinach food file and learn why it’s good for you and how to make the most of it in the kitchen!
Find healthy recipes here: http://bit.ly/1FZcVHg","June 6, 2015",2 Comments12 Shares2.3K Views,83,waitroseandpartners
1482,"What's your favourite ice cream flavour?
This simple raspberry ripple ice cream takes just 20 minutes to prepare! It’s perfect for a weekend treat. Read the recipe here: http://bit.ly/1HpkbfS","June 5, 2015",8 Comments80 Shares3.5K Views,136,waitroseandpartners
1484,"Enjoy our quick and easy meal deal – choose one main, plus two sides or a dessert for just £7.
Choose yours: http://bit.ly/1dgoU9a","June 4, 2015",1 Comment7 Shares,88,waitroseandpartners
1486,"Watch how to make caramel sauce with the Delia Online Cookery School.
Read the full recipe here: http://bit.ly/1dJpDkj","June 4, 2015",16 Shares2.3K Views,89,waitroseandpartners
1488,"We’ve been working closely with our Italian suppliers to ensure there isn’t a Prosecco shortage at Waitrose this summer. We’ll even be extending our range this month.
Enjoy 25% off all wine and Champagne both in store and online until 9 June: http://bit.ly/1ALnaQg","June 3, 2015",35 Comments114 Shares,304,waitroseandpartners
1490,"Browse some of our favourite recipes for using oils and seasoning to enhance the flavour of your food and improve the nutritional balance.
Find more recipes and info here: http://bit.ly/1F86C0p","June 2, 2015",2 Comments15 Shares,129,waitroseandpartners
1492,"Sweet or savoury, what’s your favourite way to use cherries in the kitchen?
Browse three of our favourite cherry recipes for this time of year.","June 2, 2015",8 Comments13 Shares,146,waitroseandpartners
1494,"Tess Ward shows you her recipe for avocado boats with pea, feta and mint - a great recipe for a speedy meat-free dish.
Read the full recipe here: http://bit.ly/1HGpipw","June 1, 2015",11 Comments31 Shares6.8K Views,82,waitroseandpartners
1496,"Fluffy sponge with an indulgent rhubarb and cream cheese filling - a delicious twist on a classic Victoria sponge!
Find the full recipe here: http://bit.ly/1PZ747l","May 31, 2015",17 Comments26 Shares,216,waitroseandpartners
1498,"Enjoy our delicious recipe for prawn tikka skewers with mint and cucumber yogurt – low fat, ready in 15 minutes and a tasty alternative to a takeaway.
Recipe: http://bit.ly/1PwX0rb","May 30, 2015",2 Comments19 Shares,127,waitroseandpartners
1500,"Treat Dad to a day out with the kids this Father's Day with one of our courses at The Waitrose Cookery School in Salisbury.
Find out more and book here: http://bit.ly/1KCgB5H","May 29, 2015",2 Shares,18,waitroseandpartners
1502,"We’re celebrating English Wine Week with up to 25% off some of our favourites!
Find out more about English wine and where you’re nearest vineyard is here: http://bit.ly/1R3sna3","May 28, 2015",5 Comments27 Shares,134,waitroseandpartners
1504,Encourage the kids to get cooking this half-term with these delicious recipes from last year's Junior MasterChef finalists.,"May 28, 2015",3 Comments8 Shares,97,waitroseandpartners
1506,"Watch our handy guide to rapeseed oil and learn how it can benefit you!
Read more and find healthy recipes here: http://bit.ly/1F86C0p","May 27, 2015",10 Comments17 Shares3.3K Views,66,waitroseandpartners
1508,"Browse some of our favourite recipes for using tomatoes! From a delicious ricotta to tomatoes on toast, which one will you try?
Plus, save 25% off Red Choice British tomatoes until 27 May: http://bit.ly/1Lfcdqf","May 26, 2015",3 Comments27 Shares,222,waitroseandpartners
1510,"Bursting with flavour, this pasta salad with roasted tomatoes and sweet pepper dressing is perfect for a meat-free Monday.
Read the full recipe here: http://bit.ly/1So1vDg","May 25, 2015",4 Comments36 Shares,193,waitroseandpartners
1512,"Ever tried making baklava?
Watch Sabrina Ghayour’s recipe for this classic syrup-soaked Middle Eastern dessert. Read the full recipe here: http://bit.ly/1E93Gjp","May 24, 2015",7 Comments42 Shares5.5K Views,85,waitroseandpartners
1514,"‘Tender beef burgers topped with amazing homemade cheese slices. Serve with charred gherkins and a zingy burger sauce’ – Heston
Save 25% on Heston’s Ultimate Beef Burgers until 2 June.","May 23, 2015",113 Comments73 Shares,3.3K,waitroseandpartners
1516,"We’re very pleased to have been voted Best Supermarket for Vegetarian Food Products in the Veggie Awards 2015!
Find some of our favourite veggie recipes here: http://bit.ly/1FcZe7d","May 22, 2015",2 Comments20 Shares,154,waitroseandpartners
1518,"Heston shows you how to make the ultimate cheeseburger using homemade cheese slices and burger sauce. Full recipe: http://bit.ly/1ISUEgF
Save 25% on Heston’s Ultimate Beef Burgers until 2 June.","May 22, 2015",54 Comments218 Shares155K Views,606,waitroseandpartners
1520,"We’re enjoying National Strawberries & Cream Day with this strawberry and vanilla swiss roll. Get the recipe: http://bit.ly/1K4orSq
What’s your favourite strawberry recipe? Tell us in the comments below","May 21, 2015",8 Comments21 Shares,218,waitroseandpartners
1522,Avocados are a great source of fibre and contain vitamin E to help protect the body against cell damage. Find healthy recipes here: http://bit.ly/1cN6tJ9,"May 20, 2015",13 Comments32 Shares6K Views,161,waitroseandpartners
1524,"Seared salmon and red rice salad with a lemon and mustard dressing - perfect for lunch or dinner and it’s one of your five a day!
Read the recipe: http://bit.ly/1Hhx3ET","May 19, 2015",1 Comment11 Shares,119,waitroseandpartners
1526,"Beetroot falafel served with garlic tahini dressing, a drizzle of chilli oil and toasted flatbread on the side – low in saturated fat and two of your five a day!
Read this meat-free recipe here: http://bit.ly/1B0HMih","May 18, 2015",2 Comments11 Shares,97,waitroseandpartners
1528,"Enjoy baking with our classic recipe for fluffy carrot cake sponge topped with soft cream cheese and candied carrot.
Read the full recipe: http://bit.ly/1aD2RYR","May 17, 2015",4 Comments48 Shares5.3K Views,123,waitroseandpartners
1530,"We’re celebrating Coeliac Awareness Week with The Detox Kitchen’s gluten-free cauliflower crust pizza with plum tomatoes, artichoke and basil pesto.
Read the full recipe here: http://bit.ly/1ylt47c","May 16, 2015",34 Comments112 Shares10K Views,157,waitroseandpartners
1532,"Our £6 stir-fry meal deal is back! Choose one pack of meat, one sauce, one noodles and one pack of vegetables: http://bit.ly/1KZAIZ8
What’s your favourite type of stir-fry?","May 15, 2015",6 Comments7 Shares,81,waitroseandpartners
1534,"Browse some of our favourite healthy recipes for cooking with fish. Which one will you try at home?
Browse more recipes: http://bit.ly/1H5sf2E","May 14, 2015",8 Shares,117,waitroseandpartners
1536,"Roasted tomatoes, a dash of chilli and basil butter come together to create a delicious, comforting and flavoursome risotto!
Read the recipe: http://bit.ly/1KEFRoy","May 13, 2015",7 Comments33 Shares5.1K Views,85,waitroseandpartners
1538,"Martha Collison, from last year's Great British Bake Off, shows you her recipe for caramelised onion and goat’s cheese Chelsea buns – perfect for any summer picnic.
Read the full recipe: http://bit.ly/1FfLc7Q","May 12, 2015",11 Comments43 Shares7K Views,113,waitroseandpartners
1542,"To celebrate Coeliac Awareness Week, we’re sharing a few of our favourite gluten-free recipes. From scrumptious cakes to light snacks, there’s something for everyone!
Read more about gluten-free: http://bit.ly/1Hetj9J","May 12, 2015",23 Comments80 Shares,167,waitroseandpartners
1544,"Today’s gluten-free Q&A is now closed. Thank you for all your great questions and sorry we couldn’t get through them all.
For more recipes: http://bit.ly/1AKbSq7
For more advice: http://bit.ly/1H9zyJc","May 10, 2015",401 Comments810 Shares,3.7K,waitroseandpartners
1546,"If you're baking today, why not try baking Kladdkaka?
It's a traditional Swedish chocolate cake, deliberately under-baked to create a deliciously gooey, chocolatey middle! Recipe: http://bit.ly/1zKlvd2","May 10, 2015",48 Comments156 Shares,437,waitroseandpartners
1548,"Watch our handy guide to dairy-free milk alternatives, including coconut, almond and rice milk – perfect for baking, smoothies and creamy coffee!
Find more: http://bit.ly/1bCtspk","May 9, 2015",7 Comments27 Shares6.9K Views,117,waitroseandpartners
1550,"Spelt-base pizza topped with torn mozzarella cheese, sun-dried tomatoes, asparagus, radishes and basil leaves.
Ready in just 30 minutes, it’s the perfect Friday night dish! Recipe: http://bit.ly/1zK6Crl","May 8, 2015",6 Comments27 Shares,157,waitroseandpartners
1552,Kick-start your healthy summer with some of our favourite low fat dairy recipes. Find these recipes and more here: http://bit.ly/1PuofNC,"May 8, 2015",1 Comment8 Shares,85,waitroseandpartners
1554,"We're proud to support The Great British Bee Count this May. Join in and help monitor the bee population in your area: http://bit.ly/1GKyWfP
What insects do you see in your garden?","May 7, 2015",4 Comments16 Shares,113,waitroseandpartners
1556,"Watch our recipe for spiced almond and cashew nut butter – it’s easier than you might think.
Read the full recipe: http://bit.ly/1IJN5Jz","May 6, 2015",14 Comments45 Shares6.1K Views,110,waitroseandpartners
1558,"Why not try introducing quinoa into your diet? It’s gluten-free and as it's high in fibre, will help keep you fuller for longer.
View healthy recipes here: http://bit.ly/1choZJO","May 5, 2015",17 Comments56 Shares11K Views,202,waitroseandpartners
1560,"Today marks Cinco de Mayo celebrations in Mexico. Why not try one of these Mexican-inspired recipes.
Which would you choose?","May 5, 2015",5 Comments12 Shares,141,waitroseandpartners
1562,"We’re enjoying meat-free Monday with this recipe for chargrilled asparagus pasta - it's low fat and 1 of your 5 a day.
Read the recipe here: http://bit.ly/1JbSdnU","May 4, 2015",1 Comment8 Shares,98,waitroseandpartners
1564,"Pecan pie is a classic South American dessert – a deliciously crunchy topping covering a gooey underlayer of vanilla and warming bourbon.
Read the recipe: http://bit.ly/1Okuw3f","May 3, 2015",10 Comments36 Shares5.6K Views,128,waitroseandpartners
1566,"What’s your perfect breakfast to kick-start your day?
Browse a few of our favourite wholegrain breakfast recipes and save 25% on healthy breakfast items until 19 May: http://bit.ly/1GMuJbh","May 2, 2015",11 Comments5 Shares,86,waitroseandpartners
1568,"Who’s planning a tasty roast this weekend?
Watch the Delia Online Cookery School recipe for the best roast chicken. Read the full recipe here: http://bit.ly/1QU4dQ6","May 1, 2015",1 Comment18 Shares5.1K Views,57,waitroseandpartners
1570,Honey-mustard baked salmon served with baby potatoes and green veg – a great mid-week meal on the table in 35 minutes. Read the recipe: http://bit.ly/1DqsRyC,"April 30, 2015",6 Comments43 Shares5.3K Views,96,waitroseandpartners
1572,There’s nothing quite as comforting as mac ‘n’ cheese! Try our recipe with a delicious four-cheese sauce. Read the full recipe: http://bit.ly/1ExYZGA,"April 29, 2015",7 Comments45 Shares8K Views,127,waitroseandpartners
1574,"What’s for lunch today?
For something different try a zesty Vietnamese bun cha salad served with a chilli and lemongrass dipping sauce. Read the recipe here: http://bit.ly/1D3gz12","April 28, 2015",4 Comments4 Shares,83,waitroseandpartners
1576,"Browse our delicious goats' cheese recipes - perfect for a meat-free Monday. Which one will you choose?
Find these recipes and more in Waitrose Kitchen magazine from Thursday.","April 27, 2015",8 Comments21 Shares,166,waitroseandpartners
1580,"Try something new this weekend with our recipe for quick and delicious overnight oats, flavoured with fresh strawberries and rose water.
Read the full recipe: http://bit.ly/1GSHd0Y","April 25, 2015",12 Comments32 Shares6.7K Views,87,waitroseandpartners
1582,Browse just a few of our favourite classic recipes to celebrate St. Georges Day!,"April 23, 2015",7 Comments16 Shares,226,waitroseandpartners
1584,"Rich Harris shows you how to make delicious courgette, chickpea and tomato pasties – perfect for picnics or alfresco dining.
Read the full recipe: http://bit.ly/1PbDrkq","April 22, 2015",6 Comments33 Shares4.9K Views,79,waitroseandpartners
1586,Enjoy a Scandi-inspired lunch with one of these delicious open sandwiches. Read the recipes here: http://bit.ly/1DcFrR5,"April 21, 2015",1 Comment19 Shares,172,waitroseandpartners
1588,"Enjoying a meat-free Monday?
This Spring Vegetable and Noodle Stir Fry is two of your five a day and low in saturated fat. Read the recipe: http://bit.ly/1a8WDzH","April 20, 2015",2 Comments19 Shares,138,waitroseandpartners
1592,"Who’s baking today?
How about chocolatey sponge layered with orange buttercream and finished with a rich orange mocha ganache. Read the recipe: http://bit.ly/1DfH44Q","April 19, 2015",23 Comments55 Shares,344,waitroseandpartners
1594,"Enjoy 3 for £10 across selected meat and fish, including our Alaskan salmon fillets.
Try this recipe for perfect for wild salmon with roasted asparagus topped with a creamy sauce: http://bit.ly/1CNV0PK","April 17, 2015",1 Comment7 Shares,84,waitroseandpartners
1596,"Whilst the England cricket team are touring the West Indies, we’re cooking up a delicious Caribbean-inspired menu.
Which dish is your favourite?","April 16, 2015",12 Comments7 Shares,120,waitroseandpartners
1598,Heston shares his most memorable kitchen disaster. Tell us your own kitchen disasters or triumphs in the comments below.,"April 15, 2015",4 Comments3 Shares4.5K Views,38,waitroseandpartners
1600,Which of these delicious maple syrup recipes would you choose?,"April 14, 2015",17 Comments9 Shares,128,waitroseandpartners
1602,"Our Little Waitrose in West Kensington opened today. Why not pop in store and pick up a bite to eat from our fresh bakery?
Find us here: http://bit.ly/1IyQ1td","April 14, 2015",4 Comments,39,waitroseandpartners
1604,"Thank you to everyone who entered, this competition is now closed. The winner will be contacted today.
View all of our courses here: http://bit.ly/1CEtkwW
Terms and conditions: http://bit.ly/1FBRfxQ","April 13, 2015",32 Comments9 Shares,94,waitroseandpartners
1608,"We’re enjoying meat-free Monday with this crispy potato and beetroot cake served with sweet mustard sauce. Perfect for picnics!
Read the full recipe here: http://bit.ly/1INh2WC","April 13, 2015",10 Comments59 Shares,216,waitroseandpartners
1610,"Who’s baking today?
How about key lime pie with a ginger biscuit crust and dollops of whipped cream? Read the full recipe here: http://bit.ly/1NjXGPD","April 12, 2015",11 Comments55 Shares6.8K Views,182,waitroseandpartners
1612,Indulgent chocolate loaf with a secret ingredient… sweet potato! Read the full recipe: http://bit.ly/1wZK0C4,"April 11, 2015",9 Comments44 Shares5.8K Views,89,waitroseandpartners
1614,"What’s for dinner tonight?
How about Dhruv Baker’s chicken fajitas with zingy pineapple salsa and chunky guacamole? Serve with soured cream and shredded lettuce. Recipe: http://bit.ly/1FzZoX6","April 10, 2015",7 Comments11 Shares,98,waitroseandpartners
1616,"Which of these indulgent weekend brunch recipes is your favourite?
Find these and more on our Pinterest page: http://bit.ly/1aWMuqK","April 10, 2015",14 Comments15 Shares,146,waitroseandpartners
1618,"A big thank you to all of you that shared your #GoodEgg photos this Easter!
We donated to Great Ormond Street Hospital Children’s Charity this Easter. To donate, text WEGG99 £3 to 70070","April 9, 2015",1 Comment4 Shares5.7K Views,81,waitroseandpartners
1620,"Have you tried our limited edition Pineberries?
Pineberries are actually the oldest strawberry variety and taste of pineapple! Sold exclusively in Waitrose, pick yours up in store or online: http://bit.ly/1yfxMpv","April 9, 2015",93 Comments163 Shares,731,waitroseandpartners
1622,"If you have any leftover Easter eggs, try our super-simple #Easter egg fridge cake recipe – perfect for making with kids.
Find the recipe: http://bit.ly/1FaP3lW","April 8, 2015",51 Comments86 Shares,311,waitroseandpartners
1624,"Thank you to everyone who shared their #GoodEgg Easter photos – we’ve loved seeing them all! Here are just a few of our favourites
To donate to Great Ormond Street Hospital Children’s Charity, text WEGG99 £3 to 70070","April 7, 2015",7 Shares,Waitrose & Partners and 222 others,waitroseandpartners
1626,"These hot cross bun puddings with salted brandy caramel are sure to be a hit this Easter – perfect for using up any leftovers.
Read the recipe here: http://bit.ly/1xmiZcf","April 6, 2015",14 Comments28 Shares,182,waitroseandpartners
1628,"Are you having a #Meatfree Bank Holiday Monday?
How about trying our recipe for roasted squash and chickpea soup, served with crusty bread: http://bit.ly/1MGvRAC","April 6, 2015",6 Comments19 Shares,112,waitroseandpartners
1630,"Be a #GoodEgg this Easter and share your Easter photos - you could even win a gift!
We're also donating to Great Ormond Street Hospital Children's Chariety. Find out more: http://bit.ly/1Crg9V6","April 5, 2015",14 Shares,168,waitroseandpartners
