,Date,Brand,Post_Content,All_Responses,Comments,Shares,Views,Contains_Link,Contains_Video
4642,"October 2, 2016",MarksandSpencer,Keep your little one snug as a bug this season with our wonderful range of babywear > http://bit.ly/2d18J09,1900,92,46,0,True,False
4643,"October 2, 2016",MarksandSpencer,"Miranda, another of our inspirational campaign ladies affected by breast cancer, stays motivated by competing against herself! How do you keep yourself motivated? #Letsgetmoving
Discover more and meet all of our inspirational women > http://bit.ly/2dtzf7r",538,3,53,248000,True,True
4644,"October 1, 2016",MarksandSpencer,"From layering knits to luxe scarves, embrace the autumn chill with a cosy wardrobe refresh > http://bit.ly/2dmRxpy",1000,31,37,0,True,False
4645,"October 1, 2016",MarksandSpencer,"Meet breast cancer survivor, Lindsay. Her 30 minutes of activity a day is easily filled by tending to her garden. We would love to hear what you do and your top tips for staying active! #Letsgetmoving
http://bit.ly/2dtzf7r",648,23,47,374000,True,True
4646,"September 29, 2016",MarksandSpencer,"Stuck for dinner inspiration? Why not go for gold this evening and upgrade your dinner plans with 2 mains, 2 sides and a dessert for £10!",14000,1000,826,0,False,False
4647,"September 29, 2016",MarksandSpencer,Wow your friends with these effortless accessories – your weekend wardrobe just got super stylish > http://bit.ly/2dmgeQ1,980,24,27,184000,True,True
4648,"September 27, 2016",MarksandSpencer,"For breast cancer awareness month, we want to help you reduce your risk by encouraging 30 minutes of daily activity. To help spread the word, we have enlisted the help of 7 inspirational Breast Cancer Now ambassadors whose lives have been impacted by breast cancer. #LetsGetMoving
Discover more > http://bit.ly/2ddH1AM",9700,127,1949,699000,True,True
4649,"September 25, 2016",MarksandSpencer,Instantly transform your work wardrobe with these polished pieces that take you straight from boardroom to bar > http://bit.ly/2cUtHh0,1400,31,25,223000,True,True
4650,"September 23, 2016",MarksandSpencer,"From the timeless trench to the chic cover-up, step into Autumn with style and find your perfect coat > http://bit.ly/2dfpKZq",2600,57,62,0,True,False
4651,"September 21, 2016",MarksandSpencer,Want to be the best dressed guest at the party? Dial up the drama with these stylish accessories > http://bit.ly/2danFOm,920,19,21,204000,True,True
4652,"September 20, 2016",MarksandSpencer,"Invest in your pick of our new season knitwear. Mix it up with buttons or a frill detail - otherwise keep it classic with a sleek polo.
Shop jumpers > http://bit.ly/2d8uOiv",1600,82,36,259000,True,True
4653,"September 20, 2016",MarksandSpencer,"Whether you’re creating a five-minute feast or a whopping showstopper, we can help make your #Macmillancoffeemorning a piece of cake! http://bit.ly/2cNZilU",10000,130,233,0,True,False
4654,"September 17, 2016",MarksandSpencer,"You don't have to compromise your style credentials for comfort!
In-demand fashion blogger Alex Stedman proves this after walking in M&S shoes for a week.
Read the feature > http://bit.ly/2cDDiZ4",544,18,21,0,True,False
4655,"September 16, 2016",MarksandSpencer,Instantly dress up your look and discover the secrets to a fuller pout in 4 simple steps. Learn more at > http://bit.ly/2chyJpk,3900,131,479,596000,True,True
4656,"September 15, 2016",MarksandSpencer,"With different jean shapes, from skinny to O-leg, whatever style they’re into, we’ve got the perfect pair of threads.
Shop for boys: http://bit.ly/2cN9hHi
Shop for girls: http://bit.ly/2ct6weV",114,3,4,0,True,False
4657,"September 10, 2016",MarksandSpencer,"Whether you're a maximalist or prefer a more subtle take, discover our edit of hero pieces to transform your look this season > http://bit.ly/2cb1nYD",631,32,23,0,True,False
4658,"September 9, 2016",MarksandSpencer,Perfect those tricky eyeliner wings in 5 quick and easy steps. Learn more at > http://bit.ly/2cAZLLJ,1900,350,428,817000,True,True
4659,"September 8, 2016",MarksandSpencer,Go on an exotic flavour adventure from Singapore to Japan with our authentic Taste Asia range.,5100,170,446,823000,False,True
4660,"September 8, 2016",MarksandSpencer,"We bring you Limited Edition - our new capsule focusing on the season’s key trends.
Discover more > http://bit.ly/2bSDjrl",497,32,56,144000,True,True
4661,"September 2, 2016",MarksandSpencer,"Keep your summer glow going by mastering the bronzed look, all year round! Learn more at > http://bit.ly/2cr9bcN",3400,146,518,684000,True,True
4662,"September 1, 2016",MarksandSpencer,"We're very excited to be celebrating 90 years since we sold our first bra! Join us as we look back at the last 90 years of lingerie expertise...
Read the feature > http://goo.gl/1QjPCE",1700,143,299,169000,True,True
4663,"September 1, 2016",MarksandSpencer,"Embrace the new season and its sultry romantic trend with our just-arrived pieces, perfect for transitioning into autumn.
Shop new in > http://bit.ly/2caZc6M",1300,45,44,0,True,False
4664,"August 26, 2016",MarksandSpencer,"Why go out this bank holiday weekend when you can #DineIn!
Menu > http://bit.ly/2b8jgsG",1200,107,62,675000,True,True
4665,"August 26, 2016",MarksandSpencer,Whose got those #summervibes? Happy bank holiday weekend :),495,17,45,0,False,False
4666,"August 26, 2016",MarksandSpencer,"From cold-shoulder knits to sharp tailoring and modern florals, tick all the style boxes with your pick of over 500 new arrivals.
Shop new in > http://bit.ly/2cdY9HQ",5300,86,73,0,True,False
4667,"August 25, 2016",MarksandSpencer,"Introducing M&S Beauty School… First up: Strobing for Beginners. Make those features pop!
Learn more at > http://bit.ly/2bPfEdM",1300,75,174,425000,True,True
4668,"August 24, 2016",MarksandSpencer,"Refresh your shoe collection for the new season with our essential edit of irresistible ankle boots, cool trainers and standout heels.
Shop new in > http://bit.ly/2bGUGjs",4600,74,89,0,True,False
4669,"August 23, 2016",MarksandSpencer,"The new season beckons, which means it's time to schedule a workwear update. We take on three classic on-duty pieces and show you how to bring them bang up to date.
Read the feature > http://bit.ly/2bx1yMy",6500,114,89,0,True,False
4670,"August 18, 2016",MarksandSpencer,We love getting compliments on our summer parties. Here’s how to create a show-stopping get-together > http://bit.ly/2bAa8Li,11000,132,203,0,True,False
4671,"August 16, 2016",MarksandSpencer,Serve up our Papaya Pina Colada cocktail in a pineapple and finish with a maraschino cherry. http://bit.ly/29FJDHK #SpiritofSummer.,1200,60,168,387000,True,True
4672,"August 16, 2016",MarksandSpencer,"Follow us on our journey as we look back over 100 years of school uniforms & how M&S has been with you every step of the way.
We will be exploring the school uniform fashion & trends from the 1920s through to the Swinging Sixties. Delving into kids fashion of the 1970's and 1980s and how that evolved into the 1990s.
#MySchoolYears. http\://bit.ly/2a9auXj",1700,105,174,0,True,False
4673,"August 15, 2016",MarksandSpencer,"As the M&S games draw to a close, everyone’s gearing up for the hotly anticipated 100cm final! Hopefully no one pulls a ham-string!",3800,89,235,372000,False,True
4674,"August 14, 2016",MarksandSpencer,"Percy takes on the straw-vault! Now, who said pigs can’t fly?",2500,147,342,708000,False,True
4675,"August 13, 2016",MarksandSpencer,The atmosphere is electric as Percy Pig prepares for the all-important javelin throw in the M&S games. Hope Percy gets the point!,2900,221,347,417000,False,True
4676,"August 13, 2016",MarksandSpencer,"Beat the unpredictable British summertime in style with light layering. Try mixing a floral blouse with a functional parka to add interest to your look.
Shop the edit > http://bit.ly/2aNWTI9",205,23,12,0,True,False
4677,"August 12, 2016",MarksandSpencer,Inject Caribbean flavour into your cooking by spicing up your meat with jerk flavouring. http://bit.ly/29hnda6 #SpiritofSummer,1400,120,477,572000,True,True
4678,"August 12, 2016",MarksandSpencer,Introducing the M&S games! Up first is Colin the Caterpillar for the ever so tense sink dive…,1700,140,247,528000,False,True
4679,"August 11, 2016",MarksandSpencer,"This is how grown-ups pull off cheery prints without losing any of the wit or attitude"" - Julia Hobbs, Vogue's fashion news editor.
Shop the edit > http://bit.ly/2b8y8qY",744,43,13,0,True,False
4680,"August 11, 2016",MarksandSpencer,"The weekend is nearly here, so go on… treat yourself to our Dine In with special #SpiritofSummer options.
Menu > http://bit.ly/2b8jgsG",3500,168,155,1500000,True,True
4681,"August 10, 2016",MarksandSpencer,"Our school uniforms are easy to wear and care for, whatever they’re put through. M&S School Uniform: Only one store does school uniforms like this.",1200,96,182,889000,False,True
4682,"August 10, 2016",MarksandSpencer,Host your own luxurious tea party at home with our graceful Art Nouveau tea set. We await your invitation… http://bit.ly/2aID83t,12000,412,430,0,True,False
4683,"August 9, 2016",MarksandSpencer,"Follow us on our journey as we look back over 100 years of school uniforms & how M&S has been with you every step of the way.
We will be exploring the school uniform fashion & trends from the 1920s through to the Swinging Sixties. Delving into kids fashion of the 1970's and 1980s and how that evolved into the 1990s.
#MySchoolYears. http\://bit.ly/2a9auXj",1700,105,174,0,True,False
4684,"August 6, 2016",MarksandSpencer,Wishing everyone a lovely weekend in the sun! Who's hitting the seaside?,263,19,11,0,False,False
4685,"August 5, 2016",MarksandSpencer,There’s a huge variety of chillies out there and they each have their own personality. http://bit.ly/29jQ0v5 #SpiritofSummer,1200,49,165,443000,True,True
4686,"July 30, 2016",MarksandSpencer,"Designed with layering in mind, explore our pick of clever pieces to invest in now and wear well into next season.
Read the feature > http://bit.ly/2azy8QQ",1600,44,27,0,True,False
4687,"July 25, 2016",MarksandSpencer,Discover the secrets behind the authentic Texas BBQ. http://bit.ly/29hlH7W #SpiritofSummer,712,49,92,460000,True,True
4688,"July 22, 2016",MarksandSpencer,"Keep it cool this weekend and work the off-the-shoulder trend. Pair your favourite with a full skirt and lashings of jewellery.
Shop tops > http://bit.ly/2agjxLn",8700,101,103,0,True,False
4689,"July 19, 2016",MarksandSpencer,"Take on the heat in clean structured lines this summer.
Shop dresses > http://bit.ly/29QIR6R",2900,102,28,0,True,False
4690,"July 18, 2016",MarksandSpencer,Discover the history behind the 300 year old gumbo dish – it’s a celebration of different cultures coming together in New Orleans. http://bit.ly/29SFMXt #SpiritofSummer,931,43,72,389000,True,True
4691,"July 17, 2016",MarksandSpencer,Don't miss these beauty saviours for glowing summer skin.,462,20,22,0,False,False
4692,"July 16, 2016",MarksandSpencer,"Comfort, style and clever tweaks to take you straight from the grocery run to a class.
Shop the sportswear edit > http://bit.ly/29J3P8W",447,24,15,0,True,False
4693,"July 15, 2016",MarksandSpencer,Master the BBQ with recipes - guaranteed to leave your guests wanting more! Read the feature > http://bit.ly/29wEux0,99,10,8,0,True,False
4694,"July 12, 2016",MarksandSpencer,"Take your style cues from the Savile Row Inspired collection, combining classically British tailoring with a contemporary feel.
Shop now > http://bit.ly/29udCh2",1100,70,29,0,True,False
4695,"July 11, 2016",MarksandSpencer,Get into the rhythm of the fiesta this summer with our #SpiritofSummer range! http://bit.ly/29snJ52,2500,97,160,964000,True,True
4696,"July 3, 2016",MarksandSpencer,"Easy cheese & wine pairings to alfresco afternoon tea, plan ahead for your perfect picnic > http://bit.ly/29giVVh",12000,204,263,0,True,False
4697,"July 2, 2016",MarksandSpencer,If there is one ingredient that encapsulates the spirit & vibrancy of the Americas it’s chilli. http://bit.ly/29hh00m #SpiritofSummer,753,42,56,475000,True,True
4698,"June 30, 2016",MarksandSpencer,"Slip into our new Rosie for Autograph collection, designed with luxurious silks and soft feminine prints > http://bit.ly/29eu2vh",8100,107,128,0,True,False
4699,"June 28, 2016",MarksandSpencer,Jump into summer with free flip-flops when you spend £35 online and in store. T&Cs apply.,390,55,29,0,False,False
4700,"June 27, 2016",MarksandSpencer,"Sort your holiday wardrobe in a flash, with stylish David Gandy for Autograph swimwear and accessories > http://bit.ly/28WSFfg",458,32,32,0,True,False
4701,"June 25, 2016",MarksandSpencer,Melt-proof your make-up in time for summer with our tried and tested beauty tips > http://bit.ly/28OlKsM,4200,39,108,0,True,False
4702,"June 22, 2016",MarksandSpencer,Transform your feet in time for summer with Margaret Dabbs' new foot care range > http://bit.ly/28LOHYc,1200,22,39,0,True,False
4703,"June 20, 2016",MarksandSpencer,"Go behind the scenes with Dame Joan Collins as she answers a few of our questions!
Shop the Joan Collins Timeless Beauty range > http://bit.ly/28Igutn",624,58,60,124000,True,True
4704,"June 19, 2016",MarksandSpencer,Wishing you a fun-filled Father's Day!,115,3,8,0,False,False
4705,"June 17, 2016",MarksandSpencer,Discover the Timeless Beauty make-up range by Dame Joan Collins as the glamorous icon shares with us her top beauty tips! http://bit.ly/2619787,1000,118,118,174000,True,True
4706,"June 17, 2016",MarksandSpencer,"From green-fingered to the gadget-mad, pick out the perfect present to give your Dad on 19th June with our fail-safe gift guide > http://bit.ly/234wTe4",1600,8,26,0,True,False
4707,"June 16, 2016",MarksandSpencer,We're excited to share our latest beauty brand from this 'Timeless Beauty'. All will be revealed soon...,252,152,11,96000,False,True
4708,"June 14, 2016",MarksandSpencer,"Thanks a £Million! You’ve really Sparked Something Good. Simply by shopping with your Sparks card you’ve helped us raise £1 Million for UK Charities.
Read the amazing stories of who this money has helped here > http://bit.ly/1rnIrex",369,18,38,38000,True,True
4709,"June 12, 2016",MarksandSpencer,"We're very proud to help celebrate The Queen's birthday, providing food for The Mall's largest street party.
Watch our incredible journey to The Patron's Lunch.",5700,355,879,1000000,False,True
4710,"June 10, 2016",MarksandSpencer,Post a video of yourself singing happy birthday to The #Queenat90 at 4pm on 12th June at #ThePatronsLunch. #HappyBirthdayYourMajesty #ChorusforTheQueen #JoinIn,1200,116,169,191000,False,True
4711,"June 10, 2016",MarksandSpencer,"Shwop your old dress at your nearest M&S store, and it could help provide business training for women.
Learn more about Shwopping > http://bit.ly/1WOARXX",811,45,114,466000,True,True
4712,"June 9, 2016",MarksandSpencer,"No matter what Dad likes, we've got the perfect gift for him this Father's Day, 19th June.
Shop Father's Day gifts > http://bit.ly/1UosRHb",4300,36,78,0,True,False
4713,"June 7, 2016",MarksandSpencer,Welcome to #GFW25 with our designer & buyer - Faye & Hannah - discussing their careers at M&S and the creation of the #ArchivebyAlexa collection.,118,54,4,7000,False,True
4714,"June 7, 2016",MarksandSpencer,We're delighted to partner with #ThePatronsLunch in celebration of the Queen's 90th Birthday. Discover our new range showcasing fantastic ingredients from the British Isles. In store now.,3600,105,206,864000,False,True
4715,"June 6, 2016",MarksandSpencer,The squad is looking good en route to France! Sharpen your style with our FA suit > http://bit.ly/1TWaYp8,1000,111,58,0,True,False
4716,"June 4, 2016",MarksandSpencer,"Discover how our artisanal prosciutto is expertly made in Parma, Italy.
Find in store or online now > http://bit.ly/1Wz9CRr",1200,60,91,548000,True,True
4717,"June 2, 2016",MarksandSpencer,Refresh your wardrobe to see you through summer in style! > http://bit.ly/1WwFYME,595,19,20,0,True,False
4718,"May 31, 2016",MarksandSpencer,Raise your style game with the England team's official three-piece suit. > http://bit.ly/1XbwBmi,1800,235,65,0,True,False
4719,"May 30, 2016",MarksandSpencer,Delight your senses with the aromatic flavours from our #SpiritofSummer range. Find your nearest store > http://bit.ly/1ORbdKB,2000,73,116,654000,True,True
4720,"May 28, 2016",MarksandSpencer,It’s not all smooth sailing on the road to RHS Chelsea Flower Show 2016. Find out what it takes to design and build a gold-medal winning exhibit > http://bit.ly/22qwBxL,3800,84,380,750000,True,True
4721,"May 28, 2016",MarksandSpencer,"Whether you're the Groom or a guest, don't forget the finishing touches!",1100,50,29,0,False,False
4722,"May 27, 2016",MarksandSpencer,"Create your own alfresco fiesta this bank holiday weekend & make the most of it with our #SpiritofSummer food & outdoor furniture sets.
Spirit of Summer > http://bit.ly/1TZUt5j
Outdoor furniture > http://bit.ly/1WZFUFK",9200,83,142,0,True,False
4723,"May 26, 2016",MarksandSpencer,"5 Days of Summer - Buy 1 get 1 half price
Selected Womenswear, Menswear, Lingerie & Sleepwear. Mix & Match on any item!
T&C’s apply.",1200,72,81,0,False,False
4724,"May 26, 2016",MarksandSpencer,"Getting your wardrobe summer ready?
Make ordinary clothes extraordinary by Shwopping your unwanted clothes at your nearest M&S store > http://bit.ly/1WOARXX",408,39,51,284000,True,True
4725,"May 24, 2016",MarksandSpencer,"We’re delighted to have won a gold medal for our Spirit of Summer exhibit at RHS Chelsea Flower Show this year!
Shop the RHS Chelsea Flower Show Bouquet > http://bit.ly/1WPnfwi",11000,187,245,0,True,False
4726,"May 22, 2016",MarksandSpencer,Stride into the new season with a selection of summer essential shoes for him > http://bit.ly/1WGjusq,1800,96,60,0,True,False
4727,"May 21, 2016",MarksandSpencer,Master three face-transforming make-up tricks with a little help from our Beauty Editor and PÜR Minerals' Cameo Contour Stick > http://bit.ly/1Rd4xWG,1700,49,28,0,True,False
4728,"May 18, 2016",MarksandSpencer,"Treat yourself to a Dine In for 2 for £10, in store now.
See the menu > http://bit.ly/27vNs6d",2600,183,202,528000,True,True
4729,"May 18, 2016",MarksandSpencer,"Explore the #GandyForAutograph beachwear collection for easy, effortless holiday style > http://bit.ly/1sms1nJ",499,67,100,180000,True,True
4730,"May 16, 2016",MarksandSpencer,"Happy #VegetarianWeek! Spice up your meal times with our #SpiritofSummer inspired recipes.
Find them all on our free Cook With M&S app:
iOS app > http://bit.ly/CookwithiOS
Android app > http://bit.ly/CookwithAndroid",4600,119,165,0,True,False
4731,"May 12, 2016",MarksandSpencer,"Looking for a smart beauty breakthrough to give you a confidence boost this summer?
Discover our beauty editor's top 5 here > http://bit.ly/1s0rTKl",36,6,2,0,True,False
4732,"May 12, 2016",MarksandSpencer,Head in store today to taste our #SpiritofSummer range inspired by the Americas.,366,36,41,0,False,False
4733,"May 11, 2016",MarksandSpencer,"From tailored beach shorts to relaxed linen pieces, the #GandyForAutograph collection is available to explore now > http://bit.ly/1TOzIft",856,123,170,302000,True,True
4734,"May 10, 2016",MarksandSpencer,"Are you Coeliac or following a gluten free diet?
Join us from 12 – 1pm for a special #glutenfreeweek live Q&A with our nutritionist, Helen Seward to find out more about gluten free alternatives from our food hall and more.
Share your questions in a comment below.",97,52,41,0,False,False
4735,"May 9, 2016",MarksandSpencer,Celebrate the #SpiritofSummer with this season’s most exciting flavours from the Americas. Find your nearest store > http://bit.ly/1YhUzZZ,3500,104,339,832000,True,True
4736,"May 5, 2016",MarksandSpencer,"Congratulations Jean Cazals for winning the M&S Food Portraiture category of the Pink Lady® Food Photographer of the Year 2016.
Do you have a good eye for food photography? Post your best food photo as a comment below for a chance to win a £200 M&S gift card. Terms & conditions apply.",5000,1500,159,0,False,False
4737,"May 5, 2016",MarksandSpencer,Treat yourself to new lingerie and save £10 when you spend £50. Ends 25th May. T&C’s apply.,1500,67,68,0,False,False
4738,"May 4, 2016",MarksandSpencer,"Get into the spirit of summer with floaty florals, soft fabrics and a dreamy palette of blush tones.
New In > http://bit.ly/1rjEt7e",5000,192,254,1500000,True,True
4739,"May 4, 2016",MarksandSpencer,The new #GandyForAutograph beachwear collection has arrived! Take the stress out of your Summer and explore the collection now http://bit.ly/1X687sQ,4400,684,1697,892000,True,True
4740,"May 3, 2016",MarksandSpencer,Brighten up your week with 20% off online. Ends midnight tonight. T&Cs apply.,35,6,7,0,False,False
4741,"April 29, 2016",MarksandSpencer,"Shop smart with our bank holiday bonus deals on clothing, beauty and home. T&Cs apply.
Save £5 off £40
£10 off £60
£15 off £75",1500,81,100,0,False,False
4742,"April 27, 2016",MarksandSpencer,"Staying in this weekend? Do it right with our #DineIn and try the new banana dulce de leche dessert.
See the menu here > http://goo.gl/pGbf7a",1800,194,136,1200000,True,True
4743,"April 23, 2016",MarksandSpencer,"You don't need to be a pro to make scrumptious cheesy scones or deliciously tasty doughnuts. Be inspired by Rosie Foodie's breezy take on our new home baking range.
Read the feature > http://bit.ly/1SmwLQE",132,9,16,0,True,False
4744,"April 21, 2016",MarksandSpencer,"Make a splash with Summer Rose, the latest perfume by supermodel Rosie Huntington-Whiteley – with exotic notes of rose, jasmine and sandalwood.
Shop Summer Rose > http://bit.ly/1r1TECd",3900,55,97,0,True,False
4745,"April 21, 2016",MarksandSpencer,"A royal nod to #Queenat90's birthday with our delicious regal cakes. Perfect for #teatime! #HappyBirthdayYourMajesty
Read the feature > http://bit.ly/1VmAAv6",440,21,26,0,True,False
4746,"April 18, 2016",MarksandSpencer,"Watch Chloe from our Eltham store visit Middle Park Community Centre one of the 450 charities involved in our food distribution scheme in partnership with Neighbourly.
Find out more > http://bit.ly/1USsCsV",2800,132,602,505000,True,True
4747,"April 16, 2016",MarksandSpencer,"Love your heart, with our delicious new Active Health meals today. Not only do they taste great, they lower cholesterol levels too.
Find your nearest store > http://bit.ly/23ADdL9",378,21,15,0,True,False
4748,"April 14, 2016",MarksandSpencer,"Introducing M&S & Kestin Hare. Featuring specially developed floral botanical prints, Kestin Hare is a designer who puts craftsmanship at the heart of what he does.
Discover the collection > http://bit.ly/1p1hQ5X",386,55,34,459000,True,True
4749,"April 14, 2016",MarksandSpencer,#Supermodel @officialjdunn debuts her #LilLonDunn kidswear range. The #LilLonDunn range gives classic kids clothes a cool & urban vibe > http://bit.ly/1qFX90V,97,8,46,5800,True,True
4750,"April 13, 2016",MarksandSpencer,#ARCHIVEBYALEXA launch event live!,200,45,40,11000,False,True
4751,"April 10, 2016",MarksandSpencer,Cutting out gluten? Our Made Without Wheat range will satisfy your taste-buds > http://bit.ly/1q6rqoZ,4000,393,498,0,True,False
4752,"April 8, 2016",MarksandSpencer,Start looking forward to the summer and invest in the luxurious #GandyForAutograph swimwear designed in collaboration with David James Gandy http://bit.ly/1UN2wYP,4200,581,1314,628000,True,True
4753,"April 7, 2016",MarksandSpencer,"Join Twiggy in celebrating 20 years of Fashion Targets Breast Cancer. 30% of proceeds from our T-Shirt range will go to Breast Cancer Now to help fund essential breast cancer research.
Get your T-Shirt here > http://bit.ly/1UEOOHw",125,5,49,5200,True,True
4754,"April 6, 2016",MarksandSpencer,Why not channel sports-luxe in this stylish pair of printed trousers? We give you 3 ways to wear them to master this season’s art of modernity trend > http://bit.ly/1YeDhfJ,1500,149,107,431000,True,True
4755,"April 6, 2016",MarksandSpencer,"Mark the date in your diaries, the #ArchiveByAlexa collection is coming! http://bit.ly/1RVN0WS",443,39,42,416000,True,True
4756,"April 5, 2016",MarksandSpencer,"From bake-in-a-mug brownies to doughnuts, find everything you need for an easy home baking experience with our new range.
Find your nearest store: http://bit.ly/1pZUQoN",337,30,41,0,True,False
4757,"March 30, 2016",MarksandSpencer,"Earthy shades, luxe leather and statement prints. Update your wardrobe now with spring's most wearable trend.
Shop Modern utility > http://bit.ly/1SwGMwD",88,9,8,0,True,False
4758,"March 29, 2016",MarksandSpencer,"Since October 2015, we’ve been working with Neighbourly to roll out our food redistribution scheme – connecting every M&S store with a local charity. Find out more > http://bit.ly/1USsCsV",12000,425,2142,1100000,True,True
4759,"March 27, 2016",MarksandSpencer,We would like to wish you all a deliciously delightful Easter!,403,18,26,0,False,False
4760,"March 20, 2016",MarksandSpencer,"We’ve brought a whole new dimension to the classic treat with our in-store collection of luxury, hand-finished eggs.
Read more about the collection > http://bit.ly/luxuryEastereggs",1200,102,119,430000,True,True
4761,"March 17, 2016",MarksandSpencer,"Heavenly chocolate treats for every taste this Easter.
Find your nearest store > http://bit.ly/1PbK8jQ",1300,66,201,334000,True,True
4762,"March 15, 2016",MarksandSpencer,"Give Easter some extra zest with our St Clements hot cross buns!
Buy 2 packs for £2.50 in-store or try one of our other eight delicious varieties > http://bit.ly/1pJ3Vm5",1900,107,148,658000,True,True
4763,"March 7, 2016",MarksandSpencer,Get into the spirit of holiday planning with the new range of #GandyForAutograph swimwear. In-store and online now > http://bit.ly/1QwRlPt,170,60,43,0,True,False
4764,"March 6, 2016",MarksandSpencer,From everyone at M&S we hope you...,1100,73,73,0,False,False
4765,"March 3, 2016",MarksandSpencer,"Making plans to style your own wedding this year? From classic to contemporary, be inspired by our different bridal styles > http://bit.ly/1p0krhh",7100,552,549,0,True,False
4766,"March 2, 2016",MarksandSpencer,Make Mother's Day extra special with a gift from our luxurious range > http://bit.ly/1Lxm5AQ,100,22,8,0,True,False
4767,"March 1, 2016",MarksandSpencer,"Say it with flowers this Mother’s Day.
Find your nearest M&S store > http://bit.ly/21G5PkU",3300,241,495,758000,True,True
4768,"March 1, 2016",MarksandSpencer,Tell us what makes your mum so #bloominglovely for a chance to gift her a bag full of Emma Bridgewater goodies or a fabulous bouquet of flowers this Mother’s Day. T&C’s apply.,9800,703,698,0,False,False
4769,"February 28, 2016",MarksandSpencer,"Whether she’s into pampering, globetrotting or gardening, step up your #MothersDay gifting game with our hand-picked edit.
Get inspired > http://bit.ly/1TDlOxF",1000,13,13,0,True,False
4770,"February 27, 2016",MarksandSpencer,"Meet the passionate growers behind our stunning Avalanche roses and how they cultivate these most perfect of blooms.
Shop Mother's Day flowers > http://bit.ly/24t7JYH",2600,111,222,941000,True,True
4771,"February 25, 2016",MarksandSpencer,"Twiggy has spent the last 50 years as a fashion icon and has just launched her latest collection. To celebrate, we're taking a look at some of her fashion moments. Which are your favourites?
Read our interview with Twiggy > http://bit.ly/1T6BdrC",9500,330,497,0,True,False
4772,"February 24, 2016",MarksandSpencer,"Denim is a great investment for every woman - no matter her age. Karen Peacock, M&S head of design, talks about why this pair of jeans are a universal favourite.
Find out more > http://bit.ly/1KJKBPf",720,84,38,350000,True,True
4773,"February 20, 2016",MarksandSpencer,Last few days to enjoy 20% off! Don't forget to share with your friends & family.,4700,296,1562,0,False,False
4774,"February 18, 2016",MarksandSpencer,Update your home essentials & wardrobe with 20% off! Remember to share with your friends & family!,2500,153,1336,0,False,False
4775,"February 11, 2016",MarksandSpencer,"Creative director of Eco Age and wife to actor Colin Firth, Livia Firth debuts her #ethical collection. Each piece has been made with integrity and is designed for you to wear and keep forever.
Shop the range > http://bit.ly/1muNV51",426,23,23,0,True,False
4776,"February 10, 2016",MarksandSpencer,Treat your Valentine to a romantic night in with our sumptuous #DineIn for two!,9500,959,903,2200000,False,True
4777,"February 5, 2016",MarksandSpencer,"A fashion editor's guide to denim: Journalist Stacey Duguid talks to us about denim, motherhood & why sometimes, the greatest looks are simply in your jeans > http://bit.ly/1X7Ouim",4400,83,60,0,True,False
4778,"February 4, 2016",MarksandSpencer,"Introducing our new LOFT Spring range, a collection that works well in small spaces & won’t stretch your budget either! http://bit.ly/1o668Hw",7200,93,145,0,True,False
4779,"January 31, 2016",MarksandSpencer,"Embrace the spirit of Valentine’s Day with our round-up of the loveliest lingerie gifts and date-night fashion for him & her.
Read the feature > http://bit.ly/1NALns4",2100,40,40,0,True,False
4780,"January 30, 2016",MarksandSpencer,Boost your well-being at lunchtime with our new range of wraps. Available in-store > http://bit.ly/1Sb3v3U,1200,77,90,584000,True,True
4781,"January 28, 2016",MarksandSpencer,It’s time for your weekend treat! Full menu > http://bit.ly/1Kaj60p,2600,188,169,1100000,True,True
4782,"January 27, 2016",MarksandSpencer,Recreate supermodel Rosie Huntington-Whiteley’s easy-to-achieve flawless beauty look with her new make-up range > http://bit.ly/204cl7L,146,10,8,0,True,False
4783,"January 27, 2016",MarksandSpencer,Discover Rosie's new make-up range - a collection of modern classics for the woman on the go > http://bit.ly/1Vnjutc. #RosieMakeUp,5000,324,352,1800000,True,True
4784,"January 26, 2016",MarksandSpencer,"If you're after a fuss-free dinner tonight, that's healthy and downright tasty go for one of our exciting combinations of stir fry choices.",4700,94,166,0,False,False
4785,"January 25, 2016",MarksandSpencer,Beat those January Blues with 20% off!,1700,132,256,0,False,False
4786,"January 24, 2016",MarksandSpencer,"Soups are a fantastic way to hold onto the goodness of vegetables. Try our Super Green Boost Soup, which has seven different types in every portion > http://bit.ly/1OKNH1p",387,20,41,233000,True,True
4787,"January 22, 2016",MarksandSpencer,"Bring the garden indoors this season with flower-strewn fabrics, furniture & accessories. Here's our edit of floral prints that work for every home. http://bit.ly/1V5gXDQ",9300,79,127,0,True,False
4788,"January 21, 2016",MarksandSpencer,"With premium fabrics & traditional sports detailing, David James Gandy's new five-piece capsule is perfect for pre & post workout. http://bit.ly/1S1L9Am",4400,503,505,0,True,False
4789,"January 19, 2016",MarksandSpencer,"Keeping trim is easier than you think when you have a fridge full of good-for-you, guilt-free possibilities! http://bit.ly/1ZyqeFD",226,20,14,0,True,False
4790,"January 18, 2016",MarksandSpencer,What Monday blues? Tag your best friend in the comments below for a chance to win a £100 e-gift card each! T&C's apply.,1700,2300,425,0,False,False
4791,"January 16, 2016",MarksandSpencer,"Beat the mid-afternoon slump with our colourful, low-calorie and high-protein snacking salads.",380,20,35,334000,False,True
